PEAK,Time1,Price1,VALLEY,Time2,Price2
6456,2022-09-01 09:15:00,20198.3,6450,2022-09-01 10:45:00,19920.0
6444,2022-09-01 12:15:00,20127.9,6415,2022-09-01 19:30:00,19877.3
6414,2022-09-01 19:45:00,20035.0,6398,2022-09-01 23:45:00,19555.0
6396,2022-09-02 00:15:00,19930.0,6394,2022-09-02 00:45:00,19690.5
6352,2022-09-02 11:15:00,20290.0,6341,2022-09-02 14:00:00,20023.2
6316,2022-09-02 20:15:00,20396.0,6313,2022-09-02 21:00:00,20186.6
6311,2022-09-02 21:30:00,20434.3,6298,2022-09-03 00:45:00,19744.9
6295,2022-09-03 01:30:00,20066.0,6291,2022-09-03 02:30:00,19770.0
6271,2022-09-03 07:30:00,20050.0,6121,2022-09-04 21:00:00,19631.2
6081,2022-09-05 07:00:00,20046.7,6039,2022-09-05 17:30:00,19651.0
5981,2022-09-06 08:00:00,20174.7,5977,2022-09-06 09:00:00,19665.0
5949,2022-09-06 16:00:00,20023.2,5929,2022-09-06 21:00:00,19650.4
5925,2022-09-06 22:00:00,19877.9,5916,2022-09-07 00:15:00,18985.0
5913,2022-09-07 01:00:00,19119.0,5907,2022-09-07 02:30:00,18700.0
5905,2022-09-07 03:00:00,18897.6,5905,2022-09-07 03:00:00,18600.0
5899,2022-09-07 04:30:00,19066.6,5888,2022-09-07 07:15:00,18650.0
5814,2022-09-08 01:45:00,19180.0,5810,2022-09-08 02:45:00,18980.0
5805,2022-09-08 04:00:00,19455.0,5787,2022-09-08 08:30:00,19139.4
5774,2022-09-08 11:45:00,19370.0,5764,2022-09-08 14:15:00,19047.9
5749,2022-09-08 18:00:00,19400.0,5741,2022-09-08 20:00:00,19003.8
5738,2022-09-08 20:45:00,19350.0,5737,2022-09-08 21:00:00,19082.7
5733,2022-09-08 22:00:00,19339.0,5729,2022-09-08 23:00:00,19080.0
5675,2022-09-09 12:30:00,20737.9,5673,2022-09-09 13:00:00,20472.4
5662,2022-09-09 15:45:00,20988.0,5659,2022-09-09 16:30:00,20626.1
5654,2022-09-09 17:45:00,21188.0,5650,2022-09-09 18:45:00,20872.3
5647,2022-09-09 19:30:00,21299.0,5644,2022-09-09 20:15:00,20912.2
5629,2022-09-10 00:00:00,21438.0,5623,2022-09-10 01:30:00,21117.0
5604,2022-09-10 06:15:00,21666.0,5604,2022-09-10 06:15:00,21240.6
5602,2022-09-10 06:45:00,21398.2,5599,2022-09-10 07:30:00,21153.6
5579,2022-09-10 12:30:00,21670.0,5552,2022-09-10 19:15:00,21157.0
5522,2022-09-11 02:45:00,21637.7,5518,2022-09-11 03:45:00,21349.9
5514,2022-09-11 04:45:00,21825.0,5494,2022-09-11 09:45:00,21436.8
5488,2022-09-11 11:15:00,21632.0,5479,2022-09-11 13:30:00,21336.0
5435,2022-09-12 00:30:00,21883.4,5430,2022-09-12 01:45:00,21518.2
5425,2022-09-12 03:00:00,21670.3,5423,2022-09-12 03:30:00,21438.5
